id,quote_number,customer_id,sales_rep_id,price_list_id,quote_date,valid_until,status,currency,subtotal,discount_amount,tax_amount,total_amount,total_cost,gross_margin,margin_percent,discount_percent,approval_required,approval_status,deal_health_score,customer_notes,internal_notes,created_at,updated_at
22,Q-1022,22,2,1,2025-09-24 09:00:00,2025-10-24 09:00:00,APPROVED,USD,930.0,46.5,70.68,954.18,410.0,473.5,53.59,5.0,False,APPROVED,78.0,Standard quotation terms for Q-1022.,Standard deal.,2025-09-24 09:00:00,2025-09-24 09:00:00
23,Q-1023,23,1,1,2025-09-27 09:00:00,2025-10-27 09:00:00,SUBMITTED,USD,350.0,17.5,26.6,359.1,100.0,232.5,69.92,5.0,False,,77.0,Standard quotation terms for Q-1023.,Standard deal.,2025-09-27 09:00:00,2025-09-27 09:00:00
24,Q-1024,24,2,1,2025-09-30 09:00:00,2025-10-30 09:00:00,SENT,USD,2750.0,137.5,209.0,2821.5,1860.0,752.5,28.8,5.0,False,,80.0,Standard quotation terms for Q-1024.,Standard deal.,2025-09-30 09:00:00,2025-09-30 09:00:00
25,Q-1025,25,1,1,2025-10-03 09:00:00,2025-11-02 09:00:00,ACCEPTED,USD,2320.0,473.0,147.76,1994.76,1500.0,347.0,18.79,20.39,False,,76.0,Standard quotation terms for Q-1025.,Standard deal.,2025-10-03 09:00:00,2025-10-03 09:00:00
26,Q-1026,26,2,1,2025-10-06 09:00:00,2025-11-05 09:00:00,EXPIRED,USD,1030.0,51.5,78.28,1056.78,640.0,338.5,34.59,5.0,False,,76.0,Standard quotation terms for Q-1026.,Standard deal.,2025-10-06 09:00:00,2025-10-06 09:00:00
27,Q-1027,27,1,1,2025-10-09 09:00:00,2025-11-08 09:00:00,CANCELLED,USD,370.0,18.5,28.12,379.62,115.0,236.5,67.28,5.0,False,,72.0,Standard quotation terms for Q-1027.,Standard deal.,2025-10-09 09:00:00,2025-10-09 09:00:00
28,Q-1028,28,2,1,2025-10-12 09:00:00,2025-11-11 09:00:00,REJECTED,USD,950.0,47.5,72.2,974.7,460.0,442.5,49.03,5.0,False,,89.0,Standard quotation terms for Q-1028.,Standard deal.,2025-10-12 09:00:00,2025-10-12 09:00:00
29,Q-1029,29,1,1,2025-10-15 09:00:00,2025-11-14 09:00:00,DRAFT,USD,2250.0,112.5,171.0,2308.5,1350.0,787.5,36.84,5.0,False,,90.0,Standard quotation terms for Q-1029.,Standard deal.,2025-10-15 09:00:00,2025-10-15 09:00:00
30,Q-1030,30,2,1,2025-10-18 09:00:00,2025-11-17 09:00:00,PENDING_APPROVAL,USD,140.0,7.0,10.64,143.64,63.0,70.0,52.63,5.0,False,,78.0,Standard quotation terms for Q-1030.,Standard deal.,2025-10-18 09:00:00,2025-10-18 09:00:00
31,Q-1031,31,1,1,2025-10-21 09:00:00,2025-11-20 09:00:00,APPROVED,USD,245.0,12.25,18.62,251.37,120.0,112.75,48.44,5.0,False,APPROVED,82.0,Standard quotation terms for Q-1031.,Standard deal.,2025-10-21 09:00:00,2025-10-21 09:00:00
32,Q-1032,32,2,1,2025-10-24 09:00:00,2025-11-23 09:00:00,SUBMITTED,USD,185.0,9.25,14.06,189.81,85.0,90.75,51.64,5.0,False,,70.0,Standard quotation terms for Q-1032.,Standard deal.,2025-10-24 09:00:00,2025-10-24 09:00:00
33,Q-1033,33,1,1,2025-10-27 09:00:00,2025-11-26 09:00:00,SENT,USD,1050.0,129.0,73.68,994.68,500.0,421.0,45.71,12.29,False,,92.0,Standard quotation terms for Q-1033.,Standard deal.,2025-10-27 09:00:00,2025-10-27 09:00:00
34,Q-1034,34,2,1,2025-10-30 09:00:00,2025-11-29 09:00:00,ACCEPTED,USD,930.0,46.5,70.68,954.18,410.0,473.5,53.59,5.0,False,,82.0,Standard quotation terms for Q-1034.,Standard deal.,2025-10-30 09:00:00,2025-10-30 09:00:00
35,Q-1035,35,1,1,2025-11-02 09:00:00,2025-12-02 09:00:00,EXPIRED,USD,350.0,17.5,26.6,359.1,100.0,232.5,69.92,5.0,False,,77.0,Standard quotation terms for Q-1035.,Standard deal.,2025-11-02 09:00:00,2025-11-02 09:00:00
36,Q-1036,36,2,1,2025-11-05 09:00:00,2025-12-05 09:00:00,CANCELLED,USD,2750.0,137.5,209.0,2821.5,1860.0,752.5,28.8,5.0,False,,74.0,Standard quotation terms for Q-1036.,Standard deal.,2025-11-05 09:00:00,2025-11-05 09:00:00
37,Q-1037,37,1,1,2025-11-08 09:00:00,2025-12-08 09:00:00,REJECTED,USD,2320.0,116.0,176.32,2380.32,1500.0,704.0,31.94,5.0,False,,84.0,Standard quotation terms for Q-1037.,Standard deal.,2025-11-08 09:00:00,2025-11-08 09:00:00
38,Q-1038,38,2,1,2025-11-11 09:00:00,2025-12-11 09:00:00,DRAFT,USD,1030.0,51.5,78.28,1056.78,640.0,338.5,34.59,5.0,False,,79.0,Standard quotation terms for Q-1038.,Standard deal.,2025-11-11 09:00:00,2025-11-11 09:00:00
39,Q-1039,39,1,1,2025-11-14 09:00:00,2025-12-14 09:00:00,PENDING_APPROVAL,USD,370.0,18.5,28.12,379.62,115.0,236.5,67.28,5.0,False,,83.0,Standard quotation terms for Q-1039.,Standard deal.,2025-11-14 09:00:00,2025-11-14 09:00:00
40,Q-1040,40,2,1,2025-11-17 09:00:00,2025-12-17 09:00:00,APPROVED,USD,950.0,47.5,72.2,974.7,460.0,442.5,49.03,5.0,False,APPROVED,73.0,Standard quotation terms for Q-1040.,Standard deal.,2025-11-17 09:00:00,2025-11-17 09:00:00
41,Q-1041,1,1,1,2025-11-20 09:00:00,2025-12-20 09:00:00,SUBMITTED,USD,2250.0,257.0,159.44,2152.44,1350.0,643.0,32.26,11.42,False,,94.0,Standard quotation terms for Q-1041.,Standard deal.,2025-11-20 09:00:00,2025-11-20 09:00:00
42,Q-1099,2,2,1,2025-11-23 09:00:00,2025-12-23 09:00:00,SENT,USD,140.0,7.0,10.64,143.64,63.0,70.0,52.63,5.0,False,,83.0,Standard quotation terms for Q-1099.,Standard deal.,2025-11-23 09:00:00,2025-11-23 09:00:00
43,Q-1043,3,1,1,2025-11-26 09:00:00,2025-12-26 09:00:00,ACCEPTED,USD,245.0,12.25,18.62,251.37,120.0,112.75,48.44,5.0,False,,94.0,Standard quotation terms for Q-1043.,Standard deal.,2025-11-26 09:00:00,2025-11-26 09:00:00
44,Q-1044,4,2,1,2025-11-29 09:00:00,2025-12-29 09:00:00,EXPIRED,USD,185.0,9.25,14.06,189.81,85.0,90.75,51.64,5.0,False,,83.0,Standard quotation terms for Q-1044.,Standard deal.,2025-11-29 09:00:00,2025-11-29 09:00:00
45,Q-1045,5,1,1,2025-12-02 09:00:00,2026-01-01 09:00:00,CANCELLED,USD,1050.0,52.5,79.8,1077.3,500.0,497.5,49.87,5.0,False,,87.0,Standard quotation terms for Q-1045.,Standard deal.,2025-12-02 09:00:00,2025-12-02 09:00:00
46,Q-1046,6,2,1,2025-12-05 09:00:00,2026-01-04 09:00:00,REJECTED,USD,930.0,46.5,70.68,954.18,410.0,473.5,53.59,5.0,False,,79.0,Standard quotation terms for Q-1046.,Standard deal.,2025-12-05 09:00:00,2025-12-05 09:00:00
47,Q-1047,7,1,1,2025-12-08 09:00:00,2026-01-07 09:00:00,DRAFT,USD,350.0,43.0,24.56,331.56,100.0,207.0,67.43,12.29,False,,80.0,Standard quotation terms for Q-1047.,Standard deal.,2025-12-08 09:00:00,2025-12-08 09:00:00
48,Q-1048,8,2,1,2025-12-11 09:00:00,2026-01-10 09:00:00,PENDING_APPROVAL,USD,2750.0,137.5,209.0,2821.5,1860.0,752.5,28.8,5.0,False,,75.0,Standard quotation terms for Q-1048.,Standard deal.,2025-12-11 09:00:00,2025-12-11 09:00:00
49,Q-1049,9,1,1,2025-12-14 09:00:00,2026-01-13 09:00:00,APPROVED,USD,2320.0,116.0,176.32,2380.32,1500.0,704.0,31.94,5.0,False,APPROVED,95.0,Standard quotation terms for Q-1049.,Standard deal.,2025-12-14 09:00:00,2025-12-14 09:00:00
50,Q-1050,10,2,1,2025-12-17 09:00:00,2026-01-16 09:00:00,SUBMITTED,USD,1030.0,51.5,78.28,1056.78,640.0,338.5,34.59,5.0,False,,86.0,Standard quotation terms for Q-1050.,Standard deal.,2025-12-17 09:00:00,2025-12-17 09:00:00
51,Q-1051,11,1,1,2025-12-20 09:00:00,2026-01-19 09:00:00,SENT,USD,370.0,18.5,28.12,379.62,115.0,236.5,67.28,5.0,False,,77.0,Standard quotation terms for Q-1051.,Standard deal.,2025-12-20 09:00:00,2025-12-20 09:00:00
52,Q-1052,12,2,1,2025-12-23 09:00:00,2026-01-22 09:00:00,ACCEPTED,USD,950.0,47.5,72.2,974.7,460.0,442.5,49.03,5.0,False,,79.0,Standard quotation terms for Q-1052.,Standard deal.,2025-12-23 09:00:00,2025-12-23 09:00:00
53,Q-1053,13,1,1,2025-12-26 09:00:00,2026-01-25 09:00:00,EXPIRED,USD,2250.0,257.0,159.44,2152.44,1350.0,643.0,32.26,11.42,False,,85.0,Standard quotation terms for Q-1053.,Standard deal.,2025-12-26 09:00:00,2025-12-26 09:00:00
54,Q-1054,14,2,1,2025-12-29 09:00:00,2026-01-28 09:00:00,CANCELLED,USD,140.0,7.0,10.64,143.64,63.0,70.0,52.63,5.0,False,,92.0,Standard quotation terms for Q-1054.,Standard deal.,2025-12-29 09:00:00,2025-12-29 09:00:00
55,Q-1055,15,1,1,2026-01-01 09:00:00,2026-01-31 09:00:00,REJECTED,USD,245.0,12.25,18.62,251.37,120.0,112.75,48.44,5.0,False,,84.0,Standard quotation terms for Q-1055.,Standard deal.,2026-01-01 09:00:00,2026-01-01 09:00:00
56,Q-1056,16,2,1,2026-01-04 09:00:00,2026-02-03 09:00:00,DRAFT,USD,185.0,9.25,14.06,189.81,85.0,90.75,51.64,5.0,False,,89.0,Standard quotation terms for Q-1056.,Standard deal.,2026-01-04 09:00:00,2026-01-04 09:00:00
57,Q-1057,17,1,1,2026-01-07 09:00:00,2026-02-06 09:00:00,PENDING_APPROVAL,USD,1050.0,52.5,79.8,1077.3,500.0,497.5,49.87,5.0,False,,70.0,Standard quotation terms for Q-1057.,Standard deal.,2026-01-07 09:00:00,2026-01-07 09:00:00
58,Q-1058,18,2,1,2026-01-10 09:00:00,2026-02-09 09:00:00,APPROVED,USD,930.0,174.0,60.48,816.48,410.0,346.0,45.77,18.71,False,APPROVED,84.0,Standard quotation terms for Q-1058.,Standard deal.,2026-01-10 09:00:00,2026-01-10 09:00:00
59,Q-1059,19,1,1,2026-01-13 09:00:00,2026-02-12 09:00:00,SUBMITTED,USD,350.0,17.5,26.6,359.1,100.0,232.5,69.92,5.0,False,,72.0,Standard quotation terms for Q-1059.,Standard deal.,2026-01-13 09:00:00,2026-01-13 09:00:00
60,Q-1060,20,2,1,2026-01-16 09:00:00,2026-02-15 09:00:00,SENT,USD,1200.0,60.0,91.2,1231.2,840.0,300.0,26.32,5.0,False,,84.0,Standard quotation terms for Q-1060.,Standard deal.,2026-01-16 09:00:00,2026-01-16 09:00:00
