id,quotation_id,product_id,quantity,unit_price,discount_percent,discount_amount,line_subtotal,unit_cost,line_cost,line_margin,line_margin_percent,discount_limit_percent,discount_status,created_at,updated_at
24,12,1,1,1200.0,22.0,264.0,936.0,840.0,840.0,96.0,10.26,15.0,OVER_LIMIT,2025-08-25 09:00:00,2025-08-25 09:00:00
25,12,2,1,1550.0,5.0,77.5,1472.5,1020.0,1020.0,452.5,30.73,15.0,OK,2025-08-25 09:00:00,2025-08-25 09:00:00
26,13,3,1,2100.0,5.0,105.0,1995.0,1350.0,1350.0,645.0,32.33,15.0,OK,2025-08-28 09:00:00,2025-08-28 09:00:00
27,13,4,1,220.0,5.0,11.0,209.0,150.0,150.0,59.0,28.23,15.0,OK,2025-08-28 09:00:00,2025-08-28 09:00:00
28,14,5,1,380.0,5.0,19.0,361.0,240.0,240.0,121.0,33.52,15.0,OK,2025-08-31 09:00:00,2025-08-31 09:00:00
29,14,6,1,650.0,5.0,32.5,617.5,400.0,400.0,217.5,35.22,15.0,OK,2025-08-31 09:00:00,2025-08-31 09:00:00
30,15,7,1,120.0,5.0,6.0,114.0,40.0,40.0,74.0,64.91,15.0,OK,2025-09-03 09:00:00,2025-09-03 09:00:00
31,15,8,1,250.0,5.0,12.5,237.5,75.0,75.0,162.5,68.42,15.0,OK,2025-09-03 09:00:00,2025-09-03 09:00:00
32,16,9,1,450.0,5.0,22.5,427.5,120.0,120.0,307.5,71.93,15.0,OK,2025-09-06 09:00:00,2025-09-06 09:00:00
33,16,10,1,500.0,5.0,25.0,475.0,340.0,340.0,135.0,28.42,15.0,OK,2025-09-06 09:00:00,2025-09-06 09:00:00
34,17,11,1,850.0,5.0,42.5,807.5,530.0,530.0,277.5,34.37,15.0,OK,2025-09-09 09:00:00,2025-09-09 09:00:00
35,17,12,1,1400.0,5.0,70.0,1330.0,820.0,820.0,510.0,38.35,15.0,OK,2025-09-09 09:00:00,2025-09-09 09:00:00
36,18,13,1,45.0,22.0,9.9,35.1,18.0,18.0,17.1,48.72,15.0,OVER_LIMIT,2025-09-12 09:00:00,2025-09-12 09:00:00
37,18,14,1,95.0,5.0,4.75,90.25,45.0,45.0,45.25,50.14,15.0,OK,2025-09-12 09:00:00,2025-09-12 09:00:00
38,19,15,1,180.0,5.0,9.0,171.0,95.0,95.0,76.0,44.44,15.0,OK,2025-09-15 09:00:00,2025-09-15 09:00:00
39,19,16,1,65.0,5.0,3.25,61.75,25.0,25.0,36.75,59.51,15.0,OK,2025-09-15 09:00:00,2025-09-15 09:00:00
40,20,17,1,110.0,5.0,5.5,104.5,55.0,55.0,49.5,47.37,15.0,OK,2025-09-18 09:00:00,2025-09-18 09:00:00
41,20,18,1,75.0,5.0,3.75,71.25,30.0,30.0,41.25,57.89,15.0,OK,2025-09-18 09:00:00,2025-09-18 09:00:00
42,21,19,1,450.0,5.0,22.5,427.5,220.0,220.0,207.5,48.54,15.0,OK,2025-09-21 09:00:00,2025-09-21 09:00:00
43,21,20,1,600.0,5.0,30.0,570.0,280.0,280.0,290.0,50.88,15.0,OK,2025-09-21 09:00:00,2025-09-21 09:00:00
44,22,21,1,750.0,5.0,37.5,712.5,350.0,350.0,362.5,50.88,15.0,OK,2025-09-24 09:00:00,2025-09-24 09:00:00
45,22,22,1,180.0,5.0,9.0,171.0,60.0,60.0,111.0,64.91,15.0,OK,2025-09-24 09:00:00,2025-09-24 09:00:00
46,23,23,1,150.0,5.0,7.5,142.5,40.0,40.0,102.5,71.93,15.0,OK,2025-09-27 09:00:00,2025-09-27 09:00:00
47,23,24,1,200.0,5.0,10.0,190.0,60.0,60.0,130.0,68.42,15.0,OK,2025-09-27 09:00:00,2025-09-27 09:00:00
48,24,1,1,1200.0,5.0,60.0,1140.0,840.0,840.0,300.0,26.32,15.0,OK,2025-09-30 09:00:00,2025-09-30 09:00:00
49,24,2,1,1550.0,5.0,77.5,1472.5,1020.0,1020.0,452.5,30.73,15.0,OK,2025-09-30 09:00:00,2025-09-30 09:00:00
50,25,3,1,2100.0,22.0,462.0,1638.0,1350.0,1350.0,288.0,17.58,15.0,OVER_LIMIT,2025-10-03 09:00:00,2025-10-03 09:00:00
51,25,4,1,220.0,5.0,11.0,209.0,150.0,150.0,59.0,28.23,15.0,OK,2025-10-03 09:00:00,2025-10-03 09:00:00
52,26,5,1,380.0,5.0,19.0,361.0,240.0,240.0,121.0,33.52,15.0,OK,2025-10-06 09:00:00,2025-10-06 09:00:00
53,26,6,1,650.0,5.0,32.5,617.5,400.0,400.0,217.5,35.22,15.0,OK,2025-10-06 09:00:00,2025-10-06 09:00:00
54,27,7,1,120.0,5.0,6.0,114.0,40.0,40.0,74.0,64.91,15.0,OK,2025-10-09 09:00:00,2025-10-09 09:00:00
55,27,8,1,250.0,5.0,12.5,237.5,75.0,75.0,162.5,68.42,15.0,OK,2025-10-09 09:00:00,2025-10-09 09:00:00
56,28,9,1,450.0,5.0,22.5,427.5,120.0,120.0,307.5,71.93,15.0,OK,2025-10-12 09:00:00,2025-10-12 09:00:00
57,28,10,1,500.0,5.0,25.0,475.0,340.0,340.0,135.0,28.42,15.0,OK,2025-10-12 09:00:00,2025-10-12 09:00:00
58,29,11,1,850.0,5.0,42.5,807.5,530.0,530.0,277.5,34.37,15.0,OK,2025-10-15 09:00:00,2025-10-15 09:00:00
59,29,12,1,1400.0,5.0,70.0,1330.0,820.0,820.0,510.0,38.35,15.0,OK,2025-10-15 09:00:00,2025-10-15 09:00:00
60,30,13,1,45.0,5.0,2.25,42.75,18.0,18.0,24.75,57.89,15.0,OK,2025-10-18 09:00:00,2025-10-18 09:00:00
61,30,14,1,95.0,5.0,4.75,90.25,45.0,45.0,45.25,50.14,15.0,OK,2025-10-18 09:00:00,2025-10-18 09:00:00
62,31,15,1,180.0,5.0,9.0,171.0,95.0,95.0,76.0,44.44,15.0,OK,2025-10-21 09:00:00,2025-10-21 09:00:00
63,31,16,1,65.0,5.0,3.25,61.75,25.0,25.0,36.75,59.51,15.0,OK,2025-10-21 09:00:00,2025-10-21 09:00:00
64,32,17,1,110.0,5.0,5.5,104.5,55.0,55.0,49.5,47.37,15.0,OK,2025-10-24 09:00:00,2025-10-24 09:00:00
65,32,18,1,75.0,5.0,3.75,71.25,30.0,30.0,41.25,57.89,15.0,OK,2025-10-24 09:00:00,2025-10-24 09:00:00
66,33,19,1,450.0,22.0,99.0,351.0,220.0,220.0,131.0,37.32,15.0,OVER_LIMIT,2025-10-27 09:00:00,2025-10-27 09:00:00
67,33,20,1,600.0,5.0,30.0,570.0,280.0,280.0,290.0,50.88,15.0,OK,2025-10-27 09:00:00,2025-10-27 09:00:00
68,34,21,1,750.0,5.0,37.5,712.5,350.0,350.0,362.5,50.88,15.0,OK,2025-10-30 09:00:00,2025-10-30 09:00:00
69,34,22,1,180.0,5.0,9.0,171.0,60.0,60.0,111.0,64.91,15.0,OK,2025-10-30 09:00:00,2025-10-30 09:00:00
70,35,23,1,150.0,5.0,7.5,142.5,40.0,40.0,102.5,71.93,15.0,OK,2025-11-02 09:00:00,2025-11-02 09:00:00
71,35,24,1,200.0,5.0,10.0,190.0,60.0,60.0,130.0,68.42,15.0,OK,2025-11-02 09:00:00,2025-11-02 09:00:00
72,36,1,1,1200.0,5.0,60.0,1140.0,840.0,840.0,300.0,26.32,15.0,OK,2025-11-05 09:00:00,2025-11-05 09:00:00
73,36,2,1,1550.0,5.0,77.5,1472.5,1020.0,1020.0,452.5,30.73,15.0,OK,2025-11-05 09:00:00,2025-11-05 09:00:00
74,37,3,1,2100.0,5.0,105.0,1995.0,1350.0,1350.0,645.0,32.33,15.0,OK,2025-11-08 09:00:00,2025-11-08 09:00:00
75,37,4,1,220.0,5.0,11.0,209.0,150.0,150.0,59.0,28.23,15.0,OK,2025-11-08 09:00:00,2025-11-08 09:00:00
76,38,5,1,380.0,5.0,19.0,361.0,240.0,240.0,121.0,33.52,15.0,OK,2025-11-11 09:00:00,2025-11-11 09:00:00
77,38,6,1,650.0,5.0,32.5,617.5,400.0,400.0,217.5,35.22,15.0,OK,2025-11-11 09:00:00,2025-11-11 09:00:00
78,39,7,1,120.0,5.0,6.0,114.0,40.0,40.0,74.0,64.91,15.0,OK,2025-11-14 09:00:00,2025-11-14 09:00:00
79,39,8,1,250.0,5.0,12.5,237.5,75.0,75.0,162.5,68.42,15.0,OK,2025-11-14 09:00:00,2025-11-14 09:00:00
80,40,9,1,450.0,5.0,22.5,427.5,120.0,120.0,307.5,71.93,15.0,OK,2025-11-17 09:00:00,2025-11-17 09:00:00
81,40,10,1,500.0,5.0,25.0,475.0,340.0,340.0,135.0,28.42,15.0,OK,2025-11-17 09:00:00,2025-11-17 09:00:00
82,41,11,1,850.0,22.0,187.0,663.0,530.0,530.0,133.0,20.06,15.0,OVER_LIMIT,2025-11-20 09:00:00,2025-11-20 09:00:00
83,41,12,1,1400.0,5.0,70.0,1330.0,820.0,820.0,510.0,38.35,15.0,OK,2025-11-20 09:00:00,2025-11-20 09:00:00
84,42,13,1,45.0,5.0,2.25,42.75,18.0,18.0,24.75,57.89,15.0,OK,2025-11-23 09:00:00,2025-11-23 09:00:00
85,42,14,1,95.0,5.0,4.75,90.25,45.0,45.0,45.25,50.14,15.0,OK,2025-11-23 09:00:00,2025-11-23 09:00:00
86,43,15,1,180.0,5.0,9.0,171.0,95.0,95.0,76.0,44.44,15.0,OK,2025-11-26 09:00:00,2025-11-26 09:00:00
87,43,16,1,65.0,5.0,3.25,61.75,25.0,25.0,36.75,59.51,15.0,OK,2025-11-26 09:00:00,2025-11-26 09:00:00
88,44,17,1,110.0,5.0,5.5,104.5,55.0,55.0,49.5,47.37,15.0,OK,2025-11-29 09:00:00,2025-11-29 09:00:00
89,44,18,1,75.0,5.0,3.75,71.25,30.0,30.0,41.25,57.89,15.0,OK,2025-11-29 09:00:00,2025-11-29 09:00:00
90,45,19,1,450.0,5.0,22.5,427.5,220.0,220.0,207.5,48.54,15.0,OK,2025-12-02 09:00:00,2025-12-02 09:00:00
91,45,20,1,600.0,5.0,30.0,570.0,280.0,280.0,290.0,50.88,15.0,OK,2025-12-02 09:00:00,2025-12-02 09:00:00
92,46,21,1,750.0,5.0,37.5,712.5,350.0,350.0,362.5,50.88,15.0,OK,2025-12-05 09:00:00,2025-12-05 09:00:00
93,46,22,1,180.0,5.0,9.0,171.0,60.0,60.0,111.0,64.91,15.0,OK,2025-12-05 09:00:00,2025-12-05 09:00:00
94,47,23,1,150.0,22.0,33.0,117.0,40.0,40.0,77.0,65.81,15.0,OVER_LIMIT,2025-12-08 09:00:00,2025-12-08 09:00:00
95,47,24,1,200.0,5.0,10.0,190.0,60.0,60.0,130.0,68.42,15.0,OK,2025-12-08 09:00:00,2025-12-08 09:00:00
96,48,1,1,1200.0,5.0,60.0,1140.0,840.0,840.0,300.0,26.32,15.0,OK,2025-12-11 09:00:00,2025-12-11 09:00:00
97,48,2,1,1550.0,5.0,77.5,1472.5,1020.0,1020.0,452.5,30.73,15.0,OK,2025-12-11 09:00:00,2025-12-11 09:00:00
98,49,3,1,2100.0,5.0,105.0,1995.0,1350.0,1350.0,645.0,32.33,15.0,OK,2025-12-14 09:00:00,2025-12-14 09:00:00
99,49,4,1,220.0,5.0,11.0,209.0,150.0,150.0,59.0,28.23,15.0,OK,2025-12-14 09:00:00,2025-12-14 09:00:00
100,50,5,1,380.0,5.0,19.0,361.0,240.0,240.0,121.0,33.52,15.0,OK,2025-12-17 09:00:00,2025-12-17 09:00:00
101,50,6,1,650.0,5.0,32.5,617.5,400.0,400.0,217.5,35.22,15.0,OK,2025-12-17 09:00:00,2025-12-17 09:00:00
102,51,7,1,120.0,5.0,6.0,114.0,40.0,40.0,74.0,64.91,15.0,OK,2025-12-20 09:00:00,2025-12-20 09:00:00
103,51,8,1,250.0,5.0,12.5,237.5,75.0,75.0,162.5,68.42,15.0,OK,2025-12-20 09:00:00,2025-12-20 09:00:00
104,52,9,1,450.0,5.0,22.5,427.5,120.0,120.0,307.5,71.93,15.0,OK,2025-12-23 09:00:00,2025-12-23 09:00:00
105,52,10,1,500.0,5.0,25.0,475.0,340.0,340.0,135.0,28.42,15.0,OK,2025-12-23 09:00:00,2025-12-23 09:00:00
106,53,11,1,850.0,22.0,187.0,663.0,530.0,530.0,133.0,20.06,15.0,OVER_LIMIT,2025-12-26 09:00:00,2025-12-26 09:00:00
107,53,12,1,1400.0,5.0,70.0,1330.0,820.0,820.0,510.0,38.35,15.0,OK,2025-12-26 09:00:00,2025-12-26 09:00:00
108,54,13,1,45.0,5.0,2.25,42.75,18.0,18.0,24.75,57.89,15.0,OK,2025-12-29 09:00:00,2025-12-29 09:00:00
109,54,14,1,95.0,5.0,4.75,90.25,45.0,45.0,45.25,50.14,15.0,OK,2025-12-29 09:00:00,2025-12-29 09:00:00
110,55,15,1,180.0,5.0,9.0,171.0,95.0,95.0,76.0,44.44,15.0,OK,2026-01-01 09:00:00,2026-01-01 09:00:00
111,55,16,1,65.0,5.0,3.25,61.75,25.0,25.0,36.75,59.51,15.0,OK,2026-01-01 09:00:00,2026-01-01 09:00:00
112,56,17,1,110.0,5.0,5.5,104.5,55.0,55.0,49.5,47.37,15.0,OK,2026-01-04 09:00:00,2026-01-04 09:00:00
113,56,18,1,75.0,5.0,3.75,71.25,30.0,30.0,41.25,57.89,15.0,OK,2026-01-04 09:00:00,2026-01-04 09:00:00
114,57,19,1,450.0,5.0,22.5,427.5,220.0,220.0,207.5,48.54,15.0,OK,2026-01-07 09:00:00,2026-01-07 09:00:00
115,57,20,1,600.0,5.0,30.0,570.0,280.0,280.0,290.0,50.88,15.0,OK,2026-01-07 09:00:00,2026-01-07 09:00:00
116,58,21,1,750.0,22.0,165.0,585.0,350.0,350.0,235.0,40.17,15.0,OVER_LIMIT,2026-01-10 09:00:00,2026-01-10 09:00:00
117,58,22,1,180.0,5.0,9.0,171.0,60.0,60.0,111.0,64.91,15.0,OK,2026-01-10 09:00:00,2026-01-10 09:00:00
118,59,23,1,150.0,5.0,7.5,142.5,40.0,40.0,102.5,71.93,15.0,OK,2026-01-13 09:00:00,2026-01-13 09:00:00
119,59,24,1,200.0,5.0,10.0,190.0,60.0,60.0,130.0,68.42,15.0,OK,2026-01-13 09:00:00,2026-01-13 09:00:00
120,60,1,1,1200.0,5.0,60.0,1140.0,840.0,840.0,300.0,26.32,15.0,OK,2026-01-16 09:00:00,2026-01-16 09:00:00
