id,quotation_id,snapshot_date,health_score,margin_score,discount_risk_score,customer_engagement_score,fulfillment_score,payment_score,anomaly_score,revenue_score,risk_level,top_risk,recommended_action,created_at,updated_at
32,29,2025-10-16 09:00:00,90.0,92.0,87.0,80.0,85.0,90.0,10.0,90.0,LOW,Healthy deal profile,Continue standard process,2025-10-16 09:00:00,2025-10-16 09:00:00
33,30,2025-10-19 09:00:00,78.0,80.0,75.0,80.0,85.0,90.0,22.0,78.0,LOW,Healthy deal profile,Continue standard process,2025-10-19 09:00:00,2025-10-19 09:00:00
34,31,2025-10-22 09:00:00,82.0,84.0,79.0,80.0,85.0,90.0,18.0,82.0,LOW,Healthy deal profile,Continue standard process,2025-10-22 09:00:00,2025-10-22 09:00:00
35,32,2025-10-25 09:00:00,70.0,72.0,67.0,80.0,85.0,90.0,30.0,70.0,MEDIUM,Discount variance,Review approval state,2025-10-25 09:00:00,2025-10-25 09:00:00
36,33,2025-10-28 09:00:00,92.0,94.0,89.0,80.0,85.0,90.0,8.0,92.0,LOW,Healthy deal profile,Continue standard process,2025-10-28 09:00:00,2025-10-28 09:00:00
37,34,2025-10-31 09:00:00,82.0,84.0,79.0,80.0,85.0,90.0,18.0,82.0,LOW,Healthy deal profile,Continue standard process,2025-10-31 09:00:00,2025-10-31 09:00:00
38,35,2025-11-03 09:00:00,77.0,79.0,74.0,80.0,85.0,90.0,23.0,77.0,LOW,Healthy deal profile,Continue standard process,2025-11-03 09:00:00,2025-11-03 09:00:00
39,36,2025-11-06 09:00:00,74.0,76.0,71.0,80.0,85.0,90.0,26.0,74.0,MEDIUM,Discount variance,Review approval state,2025-11-06 09:00:00,2025-11-06 09:00:00
40,37,2025-11-09 09:00:00,84.0,86.0,81.0,80.0,85.0,90.0,16.0,84.0,LOW,Healthy deal profile,Continue standard process,2025-11-09 09:00:00,2025-11-09 09:00:00
41,38,2025-11-12 09:00:00,79.0,81.0,76.0,80.0,85.0,90.0,21.0,79.0,LOW,Healthy deal profile,Continue standard process,2025-11-12 09:00:00,2025-11-12 09:00:00
42,39,2025-11-15 09:00:00,83.0,85.0,80.0,80.0,85.0,90.0,17.0,83.0,LOW,Healthy deal profile,Continue standard process,2025-11-15 09:00:00,2025-11-15 09:00:00
43,40,2025-11-18 09:00:00,73.0,75.0,70.0,80.0,85.0,90.0,27.0,73.0,MEDIUM,Discount variance,Review approval state,2025-11-18 09:00:00,2025-11-18 09:00:00
44,41,2025-11-21 09:00:00,94.0,96.0,91.0,80.0,85.0,90.0,6.0,94.0,LOW,Healthy deal profile,Continue standard process,2025-11-21 09:00:00,2025-11-21 09:00:00
45,42,2025-11-24 09:00:00,83.0,85.0,80.0,80.0,85.0,90.0,17.0,83.0,LOW,Healthy deal profile,Continue standard process,2025-11-24 09:00:00,2025-11-24 09:00:00
46,43,2025-11-27 09:00:00,94.0,96.0,91.0,80.0,85.0,90.0,6.0,94.0,LOW,Healthy deal profile,Continue standard process,2025-11-27 09:00:00,2025-11-27 09:00:00
47,44,2025-11-30 09:00:00,83.0,85.0,80.0,80.0,85.0,90.0,17.0,83.0,LOW,Healthy deal profile,Continue standard process,2025-11-30 09:00:00,2025-11-30 09:00:00
48,45,2025-12-03 09:00:00,87.0,89.0,84.0,80.0,85.0,90.0,13.0,87.0,LOW,Healthy deal profile,Continue standard process,2025-12-03 09:00:00,2025-12-03 09:00:00
49,46,2025-12-06 09:00:00,79.0,81.0,76.0,80.0,85.0,90.0,21.0,79.0,LOW,Healthy deal profile,Continue standard process,2025-12-06 09:00:00,2025-12-06 09:00:00
50,47,2025-12-09 09:00:00,80.0,82.0,77.0,80.0,85.0,90.0,20.0,80.0,LOW,Healthy deal profile,Continue standard process,2025-12-09 09:00:00,2025-12-09 09:00:00
51,48,2025-12-12 09:00:00,75.0,77.0,72.0,80.0,85.0,90.0,25.0,75.0,LOW,Healthy deal profile,Continue standard process,2025-12-12 09:00:00,2025-12-12 09:00:00
52,49,2025-12-15 09:00:00,95.0,97.0,92.0,80.0,85.0,90.0,5.0,95.0,LOW,Healthy deal profile,Continue standard process,2025-12-15 09:00:00,2025-12-15 09:00:00
53,50,2025-12-18 09:00:00,86.0,88.0,83.0,80.0,85.0,90.0,14.0,86.0,LOW,Healthy deal profile,Continue standard process,2025-12-18 09:00:00,2025-12-18 09:00:00
54,51,2025-12-21 09:00:00,77.0,79.0,74.0,80.0,85.0,90.0,23.0,77.0,LOW,Healthy deal profile,Continue standard process,2025-12-21 09:00:00,2025-12-21 09:00:00
55,52,2025-12-24 09:00:00,79.0,81.0,76.0,80.0,85.0,90.0,21.0,79.0,LOW,Healthy deal profile,Continue standard process,2025-12-24 09:00:00,2025-12-24 09:00:00
56,53,2025-12-27 09:00:00,85.0,87.0,82.0,80.0,85.0,90.0,15.0,85.0,LOW,Healthy deal profile,Continue standard process,2025-12-27 09:00:00,2025-12-27 09:00:00
57,54,2025-12-30 09:00:00,92.0,94.0,89.0,80.0,85.0,90.0,8.0,92.0,LOW,Healthy deal profile,Continue standard process,2025-12-30 09:00:00,2025-12-30 09:00:00
58,55,2026-01-02 09:00:00,84.0,86.0,81.0,80.0,85.0,90.0,16.0,84.0,LOW,Healthy deal profile,Continue standard process,2026-01-02 09:00:00,2026-01-02 09:00:00
59,56,2026-01-05 09:00:00,89.0,91.0,86.0,80.0,85.0,90.0,11.0,89.0,LOW,Healthy deal profile,Continue standard process,2026-01-05 09:00:00,2026-01-05 09:00:00
60,57,2026-01-08 09:00:00,70.0,72.0,67.0,80.0,85.0,90.0,30.0,70.0,MEDIUM,Discount variance,Review approval state,2026-01-08 09:00:00,2026-01-08 09:00:00
