id,fulfillment_order_id,quotation_line_id,product_id,warehouse_id,ordered_quantity,allocated_quantity,fulfilled_quantity,backordered_quantity,status,unit_price,unit_cost,created_at,updated_at
30,15,18,18,1,5,5,0,5,ALLOCATED,75.0,30.0,2025-10-23 09:00:00,2025-10-23 09:00:00
31,16,18,18,1,5,5,0,5,ALLOCATED,75.0,30.0,2025-10-26 09:00:00,2025-10-26 09:00:00
32,16,19,19,1,5,5,0,5,ALLOCATED,450.0,220.0,2025-10-26 09:00:00,2025-10-26 09:00:00
33,17,19,19,1,5,5,0,5,ALLOCATED,450.0,220.0,2025-10-29 09:00:00,2025-10-29 09:00:00
34,17,20,20,1,5,5,0,5,ALLOCATED,600.0,280.0,2025-10-29 09:00:00,2025-10-29 09:00:00
35,18,20,20,1,5,5,0,5,ALLOCATED,600.0,280.0,2025-11-01 09:00:00,2025-11-01 09:00:00
36,18,21,21,1,5,5,0,5,ALLOCATED,750.0,350.0,2025-11-01 09:00:00,2025-11-01 09:00:00
37,19,21,21,1,5,5,5,0,FULFILLED,750.0,350.0,2025-11-04 09:00:00,2025-11-04 09:00:00
38,19,22,22,1,5,5,5,0,FULFILLED,180.0,60.0,2025-11-04 09:00:00,2025-11-04 09:00:00
39,20,22,22,1,5,5,5,0,FULFILLED,180.0,60.0,2025-11-07 09:00:00,2025-11-07 09:00:00
40,20,23,23,1,5,5,5,0,FULFILLED,150.0,40.0,2025-11-07 09:00:00,2025-11-07 09:00:00
41,21,23,23,1,5,5,0,5,ALLOCATED,150.0,40.0,2025-11-10 09:00:00,2025-11-10 09:00:00
42,21,24,24,1,5,5,0,5,ALLOCATED,200.0,60.0,2025-11-10 09:00:00,2025-11-10 09:00:00
43,22,24,24,1,5,5,0,5,ALLOCATED,200.0,60.0,2025-11-13 09:00:00,2025-11-13 09:00:00
44,22,25,1,1,5,5,0,5,ALLOCATED,1200.0,840.0,2025-11-13 09:00:00,2025-11-13 09:00:00
45,23,25,1,1,5,5,0,5,ALLOCATED,1200.0,840.0,2025-11-16 09:00:00,2025-11-16 09:00:00
46,23,26,2,1,5,5,0,5,ALLOCATED,1550.0,1020.0,2025-11-16 09:00:00,2025-11-16 09:00:00
47,24,26,2,1,5,5,0,5,ALLOCATED,1550.0,1020.0,2025-11-19 09:00:00,2025-11-19 09:00:00
48,24,27,3,1,5,5,0,5,ALLOCATED,2100.0,1350.0,2025-11-19 09:00:00,2025-11-19 09:00:00
49,25,27,3,1,5,5,5,0,FULFILLED,2100.0,1350.0,2025-11-22 09:00:00,2025-11-22 09:00:00
50,25,28,4,1,5,5,5,0,FULFILLED,220.0,150.0,2025-11-22 09:00:00,2025-11-22 09:00:00
51,26,28,4,1,5,5,5,0,FULFILLED,220.0,150.0,2025-11-25 09:00:00,2025-11-25 09:00:00
52,27,29,5,1,5,5,0,5,ALLOCATED,380.0,240.0,2025-11-28 09:00:00,2025-11-28 09:00:00
53,28,30,6,1,5,5,0,5,ALLOCATED,650.0,400.0,2025-12-01 09:00:00,2025-12-01 09:00:00
54,29,31,7,1,5,5,0,5,ALLOCATED,120.0,40.0,2025-12-04 09:00:00,2025-12-04 09:00:00
55,30,32,8,1,5,5,0,5,ALLOCATED,250.0,75.0,2025-12-07 09:00:00,2025-12-07 09:00:00
56,31,33,9,1,5,5,5,0,FULFILLED,450.0,120.0,2025-12-10 09:00:00,2025-12-10 09:00:00
57,32,34,10,1,5,5,5,0,FULFILLED,500.0,340.0,2025-12-13 09:00:00,2025-12-13 09:00:00
58,33,35,11,1,5,5,0,5,ALLOCATED,850.0,530.0,2025-12-16 09:00:00,2025-12-16 09:00:00
59,34,36,12,1,5,5,0,5,ALLOCATED,1400.0,820.0,2025-12-19 09:00:00,2025-12-19 09:00:00
60,35,37,13,1,5,5,0,5,ALLOCATED,45.0,18.0,2025-12-22 09:00:00,2025-12-22 09:00:00
