id,invoice_id,product_id,description,quantity,unit_price,discount_percent,discount_amount,tax_percent,line_subtotal,line_total,created_at,updated_at
14,7,17,Ultra HD Webcam Billing Line,1,110.0,0.0,0.0,8.0,110.0,118.8,2025-09-06 09:00:00,2025-09-06 09:00:00
15,8,18,Power Adapter 100W Billing Line,2,75.0,5.0,7.5,8.0,142.5,153.9,2025-09-10 09:00:00,2025-09-10 09:00:00
16,8,19,Onsite Setup Service Billing Line,1,450.0,5.0,22.5,8.0,427.5,461.7,2025-09-10 09:00:00,2025-09-10 09:00:00
17,9,20,Data Migration Billing Line,2,600.0,0.0,0.0,8.0,1200.0,1296.0,2025-09-14 09:00:00,2025-09-14 09:00:00
18,9,21,Network Setup Billing Line,1,750.0,0.0,0.0,8.0,750.0,810.0,2025-09-14 09:00:00,2025-09-14 09:00:00
19,10,22,Extended Warranty Billing Line,2,180.0,0.0,0.0,8.0,360.0,388.8,2025-09-18 09:00:00,2025-09-18 09:00:00
20,10,23,Cloud Backup 1yr Billing Line,1,150.0,0.0,0.0,8.0,150.0,162.0,2025-09-18 09:00:00,2025-09-18 09:00:00
21,11,24,Endpoint Security Billing Line,2,200.0,0.0,0.0,8.0,400.0,432.0,2025-09-22 09:00:00,2025-09-22 09:00:00
22,11,1,Laptop Pro 14 Billing Line,1,1200.0,0.0,0.0,8.0,1200.0,1296.0,2025-09-22 09:00:00,2025-09-22 09:00:00
23,12,2,Laptop Pro 16 Billing Line,2,1550.0,5.0,155.0,8.0,2945.0,3180.6,2025-09-26 09:00:00,2025-09-26 09:00:00
24,12,3,Laptop Pro 18 Billing Line,1,2100.0,5.0,105.0,8.0,1995.0,2154.6,2025-09-26 09:00:00,2025-09-26 09:00:00
25,13,4,Monitor Basic 24 Billing Line,2,220.0,0.0,0.0,8.0,440.0,475.2,2025-09-30 09:00:00,2025-09-30 09:00:00
26,13,5,Monitor Pro 27 Billing Line,1,380.0,0.0,0.0,8.0,380.0,410.4,2025-09-30 09:00:00,2025-09-30 09:00:00
27,14,6,Monitor Ultra 32 Billing Line,2,650.0,0.0,0.0,8.0,1300.0,1404.0,2025-10-04 09:00:00,2025-10-04 09:00:00
28,14,7,Basic Care 1yr Billing Line,1,120.0,0.0,0.0,8.0,120.0,129.6,2025-10-04 09:00:00,2025-10-04 09:00:00
29,15,8,Premium Care 2yr Billing Line,2,250.0,0.0,0.0,8.0,500.0,540.0,2025-10-08 09:00:00,2025-10-08 09:00:00
30,15,9,Enterprise Care 3yr Billing Line,1,450.0,0.0,0.0,8.0,450.0,486.0,2025-10-08 09:00:00,2025-10-08 09:00:00
31,16,10,Gateway Standard Billing Line,2,500.0,5.0,50.0,8.0,950.0,1026.0,2025-10-12 09:00:00,2025-10-12 09:00:00
32,16,11,Gateway Pro Billing Line,1,850.0,5.0,42.5,8.0,807.5,872.1,2025-10-12 09:00:00,2025-10-12 09:00:00
33,17,12,Gateway Enterprise Billing Line,2,1400.0,0.0,0.0,8.0,2800.0,3024.0,2025-10-16 09:00:00,2025-10-16 09:00:00
34,17,13,Wireless Mouse Billing Line,1,45.0,0.0,0.0,8.0,45.0,48.6,2025-10-16 09:00:00,2025-10-16 09:00:00
35,18,14,Mechanical Keyboard Billing Line,2,95.0,0.0,0.0,8.0,190.0,205.2,2025-10-20 09:00:00,2025-10-20 09:00:00
36,18,15,Docking Station Billing Line,1,180.0,0.0,0.0,8.0,180.0,194.4,2025-10-20 09:00:00,2025-10-20 09:00:00
37,19,16,Laptop Bag Billing Line,2,65.0,0.0,0.0,8.0,130.0,140.4,2025-10-24 09:00:00,2025-10-24 09:00:00
38,19,17,Ultra HD Webcam Billing Line,1,110.0,0.0,0.0,8.0,110.0,118.8,2025-10-24 09:00:00,2025-10-24 09:00:00
39,20,18,Power Adapter 100W Billing Line,2,75.0,5.0,7.5,8.0,142.5,153.9,2025-10-28 09:00:00,2025-10-28 09:00:00
40,20,19,Onsite Setup Service Billing Line,1,450.0,5.0,22.5,8.0,427.5,461.7,2025-10-28 09:00:00,2025-10-28 09:00:00
41,21,20,Data Migration Billing Line,2,600.0,0.0,0.0,8.0,1200.0,1296.0,2025-11-01 09:00:00,2025-11-01 09:00:00
42,22,22,Extended Warranty Billing Line,2,180.0,0.0,0.0,8.0,360.0,388.8,2025-11-05 09:00:00,2025-11-05 09:00:00
43,23,24,Endpoint Security Billing Line,2,200.0,0.0,0.0,8.0,400.0,432.0,2025-11-09 09:00:00,2025-11-09 09:00:00
44,24,2,Laptop Pro 16 Billing Line,2,1550.0,5.0,155.0,8.0,2945.0,3180.6,2025-11-13 09:00:00,2025-11-13 09:00:00
45,25,4,Monitor Basic 24 Billing Line,2,220.0,0.0,0.0,8.0,440.0,475.2,2025-11-17 09:00:00,2025-11-17 09:00:00
46,26,6,Monitor Ultra 32 Billing Line,2,650.0,0.0,0.0,8.0,1300.0,1404.0,2025-11-21 09:00:00,2025-11-21 09:00:00
47,27,8,Premium Care 2yr Billing Line,2,250.0,0.0,0.0,8.0,500.0,540.0,2025-11-25 09:00:00,2025-11-25 09:00:00
48,28,10,Gateway Standard Billing Line,2,500.0,5.0,50.0,8.0,950.0,1026.0,2025-11-29 09:00:00,2025-11-29 09:00:00
49,29,12,Gateway Enterprise Billing Line,2,1400.0,0.0,0.0,8.0,2800.0,3024.0,2025-12-03 09:00:00,2025-12-03 09:00:00
50,30,14,Mechanical Keyboard Billing Line,2,95.0,0.0,0.0,8.0,190.0,205.2,2025-12-07 09:00:00,2025-12-07 09:00:00
51,31,16,Laptop Bag Billing Line,2,65.0,0.0,0.0,8.0,130.0,140.4,2025-12-11 09:00:00,2025-12-11 09:00:00
52,32,18,Power Adapter 100W Billing Line,2,75.0,5.0,7.5,8.0,142.5,153.9,2025-12-15 09:00:00,2025-12-15 09:00:00
53,33,20,Data Migration Billing Line,2,600.0,0.0,0.0,8.0,1200.0,1296.0,2025-12-19 09:00:00,2025-12-19 09:00:00
54,34,22,Extended Warranty Billing Line,2,180.0,0.0,0.0,8.0,360.0,388.8,2025-12-23 09:00:00,2025-12-23 09:00:00
55,35,24,Endpoint Security Billing Line,2,200.0,0.0,0.0,8.0,400.0,432.0,2025-12-27 09:00:00,2025-12-27 09:00:00
56,36,2,Laptop Pro 16 Billing Line,2,1550.0,5.0,155.0,8.0,2945.0,3180.6,2025-12-31 09:00:00,2025-12-31 09:00:00
57,37,4,Monitor Basic 24 Billing Line,2,220.0,0.0,0.0,8.0,440.0,475.2,2026-01-04 09:00:00,2026-01-04 09:00:00
58,38,6,Monitor Ultra 32 Billing Line,2,650.0,0.0,0.0,8.0,1300.0,1404.0,2026-01-08 09:00:00,2026-01-08 09:00:00
59,39,8,Premium Care 2yr Billing Line,2,250.0,0.0,0.0,8.0,500.0,540.0,2026-01-12 09:00:00,2026-01-12 09:00:00
60,40,10,Gateway Standard Billing Line,2,500.0,5.0,50.0,8.0,950.0,1026.0,2026-01-16 09:00:00,2026-01-16 09:00:00
