id,invoice_number,customer_id,quotation_id,subscription_id,invoice_type,invoice_date,due_date,subtotal,discount_amount,tax_amount,total_amount,amount_paid,amount_due,currency,status,payment_status,created_at,updated_at
11,INV-0011,11,11,,CUSTOMER_INVOICE,2025-09-22 09:00:00,2025-10-22 09:00:00,1600.0,0.0,128.0,1728.0,0.0,1728.0,USD,POSTED,UNPAID,2025-09-22 09:00:00,2025-09-22 09:00:00
12,INV-0012,12,12,,CUSTOMER_INVOICE,2025-09-26 09:00:00,2025-10-26 09:00:00,4940.0,260.0,395.2,5335.2,0.0,5335.2,USD,SENT,UNPAID,2025-09-26 09:00:00,2025-09-26 09:00:00
13,INV-0013,13,13,,CUSTOMER_INVOICE,2025-09-30 09:00:00,2025-10-30 09:00:00,820.0,0.0,65.6,885.6,0.0,885.6,USD,OVERDUE,UNPAID,2025-09-30 09:00:00,2025-09-30 09:00:00
14,INV-0014,14,14,,SUBSCRIPTION_INVOICE,2025-10-04 09:00:00,2025-11-03 09:00:00,1420.0,0.0,113.6,1533.6,0.0,1533.6,USD,DRAFT,UNPAID,2025-10-04 09:00:00,2025-10-04 09:00:00
15,INV-0015,15,15,,CREDIT_NOTE,2025-10-08 09:00:00,2025-11-07 09:00:00,950.0,0.0,76.0,1026.0,1026.0,0.0,USD,PAID,PAID,2025-10-08 09:00:00,2025-10-08 09:00:00
16,INV-0016,16,16,,CUSTOMER_INVOICE,2025-10-12 09:00:00,2025-11-11 09:00:00,1757.5,92.5,140.6,1898.1,1898.1,0.0,USD,PAID,PAID,2025-10-12 09:00:00,2025-10-12 09:00:00
17,INV-0017,17,17,,CUSTOMER_INVOICE,2025-10-16 09:00:00,2025-11-15 09:00:00,2845.0,0.0,227.6,3072.6,1536.3,1536.3,USD,PARTIALLY_PAID,PARTIAL,2025-10-16 09:00:00,2025-10-16 09:00:00
18,INV-0018,18,18,,CUSTOMER_INVOICE,2025-10-20 09:00:00,2025-11-19 09:00:00,370.0,0.0,29.6,399.6,0.0,399.6,USD,POSTED,UNPAID,2025-10-20 09:00:00,2025-10-20 09:00:00
19,INV-0019,19,19,,SUBSCRIPTION_INVOICE,2025-10-24 09:00:00,2025-11-23 09:00:00,240.0,0.0,19.2,259.2,0.0,259.2,USD,SENT,UNPAID,2025-10-24 09:00:00,2025-10-24 09:00:00
20,INV-0020,20,20,,CREDIT_NOTE,2025-10-28 09:00:00,2025-11-27 09:00:00,570.0,30.0,45.6,615.6,0.0,615.6,USD,OVERDUE,UNPAID,2025-10-28 09:00:00,2025-10-28 09:00:00
21,INV-0021,21,21,,CUSTOMER_INVOICE,2025-11-01 09:00:00,2025-12-01 09:00:00,1200.0,0.0,96.0,1296.0,0.0,1296.0,USD,DRAFT,UNPAID,2025-11-01 09:00:00,2025-11-01 09:00:00
22,INV-0022,22,22,,CUSTOMER_INVOICE,2025-11-05 09:00:00,2025-12-05 09:00:00,360.0,0.0,28.8,388.8,388.8,0.0,USD,PAID,PAID,2025-11-05 09:00:00,2025-11-05 09:00:00
23,INV-0023,23,23,,CUSTOMER_INVOICE,2025-11-09 09:00:00,2025-12-09 09:00:00,400.0,0.0,32.0,432.0,432.0,0.0,USD,PAID,PAID,2025-11-09 09:00:00,2025-11-09 09:00:00
24,INV-0024,24,24,,SUBSCRIPTION_INVOICE,2025-11-13 09:00:00,2025-12-13 09:00:00,2945.0,155.0,235.6,3180.6,1590.3,1590.3,USD,PARTIALLY_PAID,PARTIAL,2025-11-13 09:00:00,2025-11-13 09:00:00
25,INV-0025,25,25,,CREDIT_NOTE,2025-11-17 09:00:00,2025-12-17 09:00:00,440.0,0.0,35.2,475.2,0.0,475.2,USD,POSTED,UNPAID,2025-11-17 09:00:00,2025-11-17 09:00:00
26,INV-0026,26,26,,CUSTOMER_INVOICE,2025-11-21 09:00:00,2025-12-21 09:00:00,1300.0,0.0,104.0,1404.0,0.0,1404.0,USD,SENT,UNPAID,2025-11-21 09:00:00,2025-11-21 09:00:00
27,INV-0027,27,27,,CUSTOMER_INVOICE,2025-11-25 09:00:00,2025-12-25 09:00:00,500.0,0.0,40.0,540.0,0.0,540.0,USD,OVERDUE,UNPAID,2025-11-25 09:00:00,2025-11-25 09:00:00
28,INV-0028,28,28,,CUSTOMER_INVOICE,2025-11-29 09:00:00,2025-12-29 09:00:00,950.0,50.0,76.0,1026.0,0.0,1026.0,USD,DRAFT,UNPAID,2025-11-29 09:00:00,2025-11-29 09:00:00
29,INV-0029,29,29,,SUBSCRIPTION_INVOICE,2025-12-03 09:00:00,2026-01-02 09:00:00,2800.0,0.0,224.0,3024.0,3024.0,0.0,USD,PAID,PAID,2025-12-03 09:00:00,2025-12-03 09:00:00
30,INV-0030,30,30,,CREDIT_NOTE,2025-12-07 09:00:00,2026-01-06 09:00:00,190.0,0.0,15.2,205.2,205.2,0.0,USD,PAID,PAID,2025-12-07 09:00:00,2025-12-07 09:00:00
31,INV-0031,31,,1,CUSTOMER_INVOICE,2025-12-11 09:00:00,2026-01-10 09:00:00,130.0,0.0,10.4,140.4,70.2,70.2,USD,PARTIALLY_PAID,PARTIAL,2025-12-11 09:00:00,2025-12-11 09:00:00
32,INV-0032,32,,2,CUSTOMER_INVOICE,2025-12-15 09:00:00,2026-01-14 09:00:00,142.5,7.5,11.4,153.9,0.0,153.9,USD,POSTED,UNPAID,2025-12-15 09:00:00,2025-12-15 09:00:00
33,INV-0033,33,,3,CUSTOMER_INVOICE,2025-12-19 09:00:00,2026-01-18 09:00:00,1200.0,0.0,96.0,1296.0,0.0,1296.0,USD,SENT,UNPAID,2025-12-19 09:00:00,2025-12-19 09:00:00
34,INV-0034,34,,4,SUBSCRIPTION_INVOICE,2025-12-23 09:00:00,2026-01-22 09:00:00,360.0,0.0,28.8,388.8,0.0,388.8,USD,OVERDUE,UNPAID,2025-12-23 09:00:00,2025-12-23 09:00:00
35,INV-0035,35,,5,CREDIT_NOTE,2025-12-27 09:00:00,2026-01-26 09:00:00,400.0,0.0,32.0,432.0,0.0,432.0,USD,DRAFT,UNPAID,2025-12-27 09:00:00,2025-12-27 09:00:00
36,INV-0036,36,,6,CUSTOMER_INVOICE,2025-12-31 09:00:00,2026-01-30 09:00:00,2945.0,155.0,235.6,3180.6,3180.6,0.0,USD,PAID,PAID,2025-12-31 09:00:00,2025-12-31 09:00:00
37,INV-0037,37,,7,CUSTOMER_INVOICE,2026-01-04 09:00:00,2026-02-03 09:00:00,440.0,0.0,35.2,475.2,475.2,0.0,USD,PAID,PAID,2026-01-04 09:00:00,2026-01-04 09:00:00
38,INV-0038,38,,8,CUSTOMER_INVOICE,2026-01-08 09:00:00,2026-02-07 09:00:00,1300.0,0.0,104.0,1404.0,702.0,702.0,USD,PARTIALLY_PAID,PARTIAL,2026-01-08 09:00:00,2026-01-08 09:00:00
39,INV-0039,39,,9,SUBSCRIPTION_INVOICE,2026-01-12 09:00:00,2026-02-11 09:00:00,500.0,0.0,40.0,540.0,0.0,540.0,USD,POSTED,UNPAID,2026-01-12 09:00:00,2026-01-12 09:00:00
40,INV-0040,40,,10,CREDIT_NOTE,2026-01-16 09:00:00,2026-02-15 09:00:00,950.0,50.0,76.0,1026.0,0.0,1026.0,USD,SENT,UNPAID,2026-01-16 09:00:00,2026-01-16 09:00:00
