id,fulfillment_number,quotation_id,customer_id,status,warehouse_strategy,shipping_address,requested_date,promised_date,shipped_date,delivered_date,tracking_number,created_at,updated_at
13,FO-0013,13,13,DELIVERED,SINGLE_WAREHOUSE,"Distribution Hub 13, Industrial Park, City",2025-10-17 09:00:00,2025-10-24 09:00:00,2025-10-19 09:00:00,2025-10-22 09:00:00,TRK-0013-IND,2025-10-17 09:00:00,2025-10-17 09:00:00
14,FO-0014,14,14,SHIPPED,SINGLE_WAREHOUSE,"Distribution Hub 14, Industrial Park, City",2025-10-20 09:00:00,2025-10-27 09:00:00,2025-10-22 09:00:00,,TRK-0014-IND,2025-10-20 09:00:00,2025-10-20 09:00:00
15,FO-0015,15,15,PARTIALLY_FULFILLED,SINGLE_WAREHOUSE,"Distribution Hub 15, Industrial Park, City",2025-10-23 09:00:00,2025-10-30 09:00:00,2025-10-25 09:00:00,,TRK-0015-IND,2025-10-23 09:00:00,2025-10-23 09:00:00
16,FO-0016,16,16,ALLOCATED,SINGLE_WAREHOUSE,"Distribution Hub 16, Industrial Park, City",2025-10-26 09:00:00,2025-11-02 09:00:00,,,,2025-10-26 09:00:00,2025-10-26 09:00:00
17,FO-0017,17,17,PENDING,SINGLE_WAREHOUSE,"Distribution Hub 17, Industrial Park, City",2025-10-29 09:00:00,2025-11-05 09:00:00,,,,2025-10-29 09:00:00,2025-10-29 09:00:00
18,FO-0018,18,18,BACKORDERED,SINGLE_WAREHOUSE,"Distribution Hub 18, Industrial Park, City",2025-11-01 09:00:00,2025-11-08 09:00:00,,,,2025-11-01 09:00:00,2025-11-01 09:00:00
19,FO-0019,19,19,DELIVERED,SINGLE_WAREHOUSE,"Distribution Hub 19, Industrial Park, City",2025-11-04 09:00:00,2025-11-11 09:00:00,2025-11-06 09:00:00,2025-11-09 09:00:00,TRK-0019-IND,2025-11-04 09:00:00,2025-11-04 09:00:00
20,FO-0020,20,20,SHIPPED,SINGLE_WAREHOUSE,"Distribution Hub 20, Industrial Park, City",2025-11-07 09:00:00,2025-11-14 09:00:00,2025-11-09 09:00:00,,TRK-0020-IND,2025-11-07 09:00:00,2025-11-07 09:00:00
21,FO-0021,21,21,PARTIALLY_FULFILLED,SINGLE_WAREHOUSE,"Distribution Hub 21, Industrial Park, City",2025-11-10 09:00:00,2025-11-17 09:00:00,2025-11-12 09:00:00,,TRK-0021-IND,2025-11-10 09:00:00,2025-11-10 09:00:00
22,FO-0022,22,22,ALLOCATED,SINGLE_WAREHOUSE,"Distribution Hub 22, Industrial Park, City",2025-11-13 09:00:00,2025-11-20 09:00:00,,,,2025-11-13 09:00:00,2025-11-13 09:00:00
23,FO-0023,23,23,PENDING,SINGLE_WAREHOUSE,"Distribution Hub 23, Industrial Park, City",2025-11-16 09:00:00,2025-11-23 09:00:00,,,,2025-11-16 09:00:00,2025-11-16 09:00:00
24,FO-0024,24,24,BACKORDERED,SINGLE_WAREHOUSE,"Distribution Hub 24, Industrial Park, City",2025-11-19 09:00:00,2025-11-26 09:00:00,,,,2025-11-19 09:00:00,2025-11-19 09:00:00
25,FO-0025,25,25,DELIVERED,SINGLE_WAREHOUSE,"Distribution Hub 25, Industrial Park, City",2025-11-22 09:00:00,2025-11-29 09:00:00,2025-11-24 09:00:00,2025-11-27 09:00:00,TRK-0025-IND,2025-11-22 09:00:00,2025-11-22 09:00:00
26,FO-0026,26,26,SHIPPED,SINGLE_WAREHOUSE,"Distribution Hub 26, Industrial Park, City",2025-11-25 09:00:00,2025-12-02 09:00:00,2025-11-27 09:00:00,,TRK-0026-IND,2025-11-25 09:00:00,2025-11-25 09:00:00
27,FO-0027,27,27,PARTIALLY_FULFILLED,SINGLE_WAREHOUSE,"Distribution Hub 27, Industrial Park, City",2025-11-28 09:00:00,2025-12-05 09:00:00,2025-11-30 09:00:00,,TRK-0027-IND,2025-11-28 09:00:00,2025-11-28 09:00:00
28,FO-0028,28,28,ALLOCATED,SINGLE_WAREHOUSE,"Distribution Hub 28, Industrial Park, City",2025-12-01 09:00:00,2025-12-08 09:00:00,,,,2025-12-01 09:00:00,2025-12-01 09:00:00
29,FO-0029,29,29,PENDING,SINGLE_WAREHOUSE,"Distribution Hub 29, Industrial Park, City",2025-12-04 09:00:00,2025-12-11 09:00:00,,,,2025-12-04 09:00:00,2025-12-04 09:00:00
30,FO-0030,30,30,BACKORDERED,SINGLE_WAREHOUSE,"Distribution Hub 30, Industrial Park, City",2025-12-07 09:00:00,2025-12-14 09:00:00,,,,2025-12-07 09:00:00,2025-12-07 09:00:00
31,FO-0031,31,31,DELIVERED,SINGLE_WAREHOUSE,"Distribution Hub 31, Industrial Park, City",2025-12-10 09:00:00,2025-12-17 09:00:00,2025-12-12 09:00:00,2025-12-15 09:00:00,TRK-0031-IND,2025-12-10 09:00:00,2025-12-10 09:00:00
32,FO-0032,32,32,SHIPPED,SINGLE_WAREHOUSE,"Distribution Hub 32, Industrial Park, City",2025-12-13 09:00:00,2025-12-20 09:00:00,2025-12-15 09:00:00,,TRK-0032-IND,2025-12-13 09:00:00,2025-12-13 09:00:00
33,FO-0033,33,33,PARTIALLY_FULFILLED,SINGLE_WAREHOUSE,"Distribution Hub 33, Industrial Park, City",2025-12-16 09:00:00,2025-12-23 09:00:00,2025-12-18 09:00:00,,TRK-0033-IND,2025-12-16 09:00:00,2025-12-16 09:00:00
34,FO-0034,34,34,ALLOCATED,SINGLE_WAREHOUSE,"Distribution Hub 34, Industrial Park, City",2025-12-19 09:00:00,2025-12-26 09:00:00,,,,2025-12-19 09:00:00,2025-12-19 09:00:00
35,FO-0035,35,35,PENDING,SINGLE_WAREHOUSE,"Distribution Hub 35, Industrial Park, City",2025-12-22 09:00:00,2025-12-29 09:00:00,,,,2025-12-22 09:00:00,2025-12-22 09:00:00
