id,warehouse_id,product_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_level,reorder_quantity,unit_cost,stock_status,last_restocked_at,created_at,updated_at
23,1,12,15,2,13,10,40,820.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
24,2,12,10,1,9,10,40,820.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
25,1,13,60,5,55,10,40,18.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
26,2,13,45,3,42,10,40,18.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
27,1,14,30,4,26,10,40,45.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
28,2,14,25,2,23,10,40,45.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
29,1,15,60,5,55,10,40,95.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
30,2,15,45,3,42,10,40,95.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
31,1,16,30,4,26,10,40,25.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
32,2,16,25,2,23,10,40,25.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
33,1,17,30,4,26,10,40,55.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
34,2,17,25,2,23,10,40,55.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
35,1,18,30,4,26,10,40,30.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
36,2,18,25,2,23,10,40,30.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
37,1,19,60,5,55,10,40,220.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
38,2,19,45,3,42,10,40,220.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
39,1,20,4,1,3,10,40,280.0,LOW_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
40,2,20,4,1,3,10,40,280.0,LOW_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
41,1,21,30,4,26,10,40,350.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
42,2,21,25,2,23,10,40,350.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
43,1,22,60,5,55,10,40,60.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
44,2,22,45,3,42,10,40,60.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
45,1,23,30,4,26,10,40,40.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
46,2,23,25,2,23,10,40,40.0,IN_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
47,1,24,0,0,0,10,40,60.0,OUT_OF_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
48,2,24,0,0,0,10,40,60.0,OUT_OF_STOCK,2025-12-17 09:00:00,2025-01-01 09:00:00,2025-01-01 09:00:00
