id,approval_id,step_number,approver_id,approver_role,threshold_type,threshold_value,status,actioned_at,comment,created_at,updated_at
17,9,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,CANCELLED,,Step 1 actioned by Sales Manager.,2025-11-24 09:00:00,2025-11-24 09:00:00
18,9,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,CANCELLED,,Step 2 actioned by Finance/Operations.,2025-11-24 09:00:00,2025-11-24 09:00:00
19,10,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,APPROVED,2025-11-27 17:00:00,Step 1 actioned by Sales Manager.,2025-11-27 09:00:00,2025-11-27 09:00:00
20,10,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,APPROVED,2025-11-27 17:00:00,Step 2 actioned by Finance/Operations.,2025-11-27 09:00:00,2025-11-27 09:00:00
21,11,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Awaiting action.,2025-11-30 09:00:00,2025-11-30 09:00:00
22,11,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,PENDING,,Awaiting action.,2025-11-30 09:00:00,2025-11-30 09:00:00
23,12,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,REJECTED,2025-12-03 17:00:00,Step 1 actioned by Sales Manager.,2025-12-03 09:00:00,2025-12-03 09:00:00
24,12,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,SKIPPED,,Step 2 actioned by Finance/Operations.,2025-12-03 09:00:00,2025-12-03 09:00:00
25,13,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,CANCELLED,,Step 1 actioned by Sales Manager.,2025-12-06 09:00:00,2025-12-06 09:00:00
26,13,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,CANCELLED,,Step 2 actioned by Finance/Operations.,2025-12-06 09:00:00,2025-12-06 09:00:00
27,14,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,APPROVED,2025-12-09 17:00:00,Step 1 actioned by Sales Manager.,2025-12-09 09:00:00,2025-12-09 09:00:00
28,14,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,APPROVED,2025-12-09 17:00:00,Step 2 actioned by Finance/Operations.,2025-12-09 09:00:00,2025-12-09 09:00:00
29,15,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Awaiting action.,2025-12-12 09:00:00,2025-12-12 09:00:00
30,15,2,5,Finance/Operations,DISCOUNT_PERCENT,15.0,PENDING,,Awaiting action.,2025-12-12 09:00:00,2025-12-12 09:00:00
31,16,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,REJECTED,2025-12-15 17:00:00,Step 1 actioned by Sales Manager.,2025-12-15 09:00:00,2025-12-15 09:00:00
32,17,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,CANCELLED,,Step 1 actioned by Sales Manager.,2025-12-18 09:00:00,2025-12-18 09:00:00
33,18,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,APPROVED,2025-12-21 17:00:00,Step 1 actioned by Sales Manager.,2025-12-21 09:00:00,2025-12-21 09:00:00
34,19,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Awaiting action.,2025-12-24 09:00:00,2025-12-24 09:00:00
35,20,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,REJECTED,2025-12-27 17:00:00,Step 1 actioned by Sales Manager.,2025-12-27 09:00:00,2025-12-27 09:00:00
36,21,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,CANCELLED,,Step 1 actioned by Sales Manager.,2025-12-30 09:00:00,2025-12-30 09:00:00
37,22,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,APPROVED,2026-01-02 17:00:00,Step 1 actioned by Sales Manager.,2026-01-02 09:00:00,2026-01-02 09:00:00
38,23,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,PENDING,,Awaiting action.,2026-01-05 09:00:00,2026-01-05 09:00:00
39,24,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,REJECTED,2026-01-08 17:00:00,Step 1 actioned by Sales Manager.,2026-01-08 09:00:00,2026-01-08 09:00:00
40,25,1,3,Sales Manager,DISCOUNT_PERCENT,10.0,CANCELLED,,Step 1 actioned by Sales Manager.,2026-01-11 09:00:00,2026-01-11 09:00:00
