id,historical_order_id,product_id,quantity,unit_price,discount_percent,discount_amount,unit_cost,line_revenue,line_cost,line_margin,line_margin_percent,created_at,updated_at
24,9,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-02-24 09:00:00,2025-02-24 09:00:00
25,9,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-02-24 09:00:00,2025-02-24 09:00:00
26,9,22,1,180.0,0.0,0.0,60.0,180.0,60.0,120.0,66.67,2025-02-24 09:00:00,2025-02-24 09:00:00
27,10,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-03-02 09:00:00,2025-03-02 09:00:00
28,10,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-03-02 09:00:00,2025-03-02 09:00:00
29,11,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-03-08 09:00:00,2025-03-08 09:00:00
30,11,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-03-08 09:00:00,2025-03-08 09:00:00
31,11,8,1,250.0,0.0,0.0,75.0,250.0,75.0,175.0,70.0,2025-03-08 09:00:00,2025-03-08 09:00:00
32,12,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-03-14 09:00:00,2025-03-14 09:00:00
33,12,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-03-14 09:00:00,2025-03-14 09:00:00
34,13,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-03-20 09:00:00,2025-03-20 09:00:00
35,13,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-03-20 09:00:00,2025-03-20 09:00:00
36,14,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-03-26 09:00:00,2025-03-26 09:00:00
37,14,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-03-26 09:00:00,2025-03-26 09:00:00
38,14,22,1,180.0,0.0,0.0,60.0,180.0,60.0,120.0,66.67,2025-03-26 09:00:00,2025-03-26 09:00:00
39,15,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-04-01 09:00:00,2025-04-01 09:00:00
40,15,15,1,180.0,0.0,0.0,95.0,180.0,95.0,85.0,47.22,2025-04-01 09:00:00,2025-04-01 09:00:00
41,16,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-04-07 09:00:00,2025-04-07 09:00:00
42,16,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-04-07 09:00:00,2025-04-07 09:00:00
43,17,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-04-13 09:00:00,2025-04-13 09:00:00
44,17,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-04-13 09:00:00,2025-04-13 09:00:00
45,18,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-04-19 09:00:00,2025-04-19 09:00:00
46,19,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-04-25 09:00:00,2025-04-25 09:00:00
47,19,13,1,45.0,0.0,0.0,18.0,45.0,18.0,27.0,60.0,2025-04-25 09:00:00,2025-04-25 09:00:00
48,20,1,1,1200.0,0.0,0.0,840.0,1200.0,840.0,360.0,30.0,2025-05-01 09:00:00,2025-05-01 09:00:00
49,21,2,2,1550.0,0.0,0.0,1020.0,3100.0,2040.0,1060.0,34.19,2025-08-29 09:00:00,2025-08-29 09:00:00
50,22,2,1,1550.0,0.0,0.0,1020.0,1550.0,1020.0,530.0,34.19,2025-09-08 09:00:00,2025-09-08 09:00:00
51,23,2,1,1550.0,0.0,0.0,1020.0,1550.0,1020.0,530.0,34.19,2025-09-23 09:00:00,2025-09-23 09:00:00
52,24,3,1,2100.0,0.0,0.0,1350.0,2100.0,1350.0,750.0,35.71,2025-10-08 09:00:00,2025-10-08 09:00:00
53,25,5,2,380.0,0.0,0.0,240.0,760.0,480.0,280.0,36.84,2025-10-18 09:00:00,2025-10-18 09:00:00
54,26,4,1,220.0,0.0,0.0,150.0,220.0,150.0,70.0,31.82,2025-07-02 09:00:00,2025-07-02 09:00:00
55,26,10,1,500.0,0.0,0.0,340.0,500.0,340.0,160.0,32.0,2025-07-02 09:00:00,2025-07-02 09:00:00
56,27,10,1,500.0,0.0,0.0,340.0,500.0,340.0,160.0,32.0,2025-07-09 09:00:00,2025-07-09 09:00:00
57,27,11,1,850.0,0.0,0.0,530.0,850.0,530.0,320.0,37.65,2025-07-09 09:00:00,2025-07-09 09:00:00
58,28,11,1,850.0,0.0,0.0,530.0,850.0,530.0,320.0,37.65,2025-07-16 09:00:00,2025-07-16 09:00:00
59,29,14,1,95.0,0.0,0.0,45.0,95.0,45.0,50.0,52.63,2025-07-23 09:00:00,2025-07-23 09:00:00
60,30,16,1,65.0,0.0,0.0,25.0,65.0,25.0,40.0,61.54,2025-07-30 09:00:00,2025-07-30 09:00:00
61,31,17,1,110.0,0.0,0.0,55.0,110.0,55.0,55.0,50.0,2025-08-06 09:00:00,2025-08-06 09:00:00
62,32,18,1,75.0,0.0,0.0,30.0,75.0,30.0,45.0,60.0,2025-08-13 09:00:00,2025-08-13 09:00:00
63,33,21,1,750.0,0.0,0.0,350.0,750.0,350.0,400.0,53.33,2025-08-20 09:00:00,2025-08-20 09:00:00
64,34,4,1,220.0,0.0,0.0,150.0,220.0,150.0,70.0,31.82,2025-08-27 09:00:00,2025-08-27 09:00:00
65,35,10,1,500.0,0.0,0.0,340.0,500.0,340.0,160.0,32.0,2025-09-03 09:00:00,2025-09-03 09:00:00
66,36,11,1,850.0,0.0,0.0,530.0,850.0,530.0,320.0,37.65,2025-09-10 09:00:00,2025-09-10 09:00:00
67,37,14,1,95.0,0.0,0.0,45.0,95.0,45.0,50.0,52.63,2025-09-17 09:00:00,2025-09-17 09:00:00
68,38,16,1,65.0,0.0,0.0,25.0,65.0,25.0,40.0,61.54,2025-09-24 09:00:00,2025-09-24 09:00:00
69,39,17,1,110.0,0.0,0.0,55.0,110.0,55.0,55.0,50.0,2025-10-01 09:00:00,2025-10-01 09:00:00
70,40,18,1,75.0,0.0,0.0,30.0,75.0,30.0,45.0,60.0,2025-10-08 09:00:00,2025-10-08 09:00:00
71,41,21,1,750.0,0.0,0.0,350.0,750.0,350.0,400.0,53.33,2025-10-15 09:00:00,2025-10-15 09:00:00
72,42,4,1,220.0,0.0,0.0,150.0,220.0,150.0,70.0,31.82,2025-10-22 09:00:00,2025-10-22 09:00:00
73,43,10,1,500.0,0.0,0.0,340.0,500.0,340.0,160.0,32.0,2025-10-29 09:00:00,2025-10-29 09:00:00
74,44,11,1,850.0,0.0,0.0,530.0,850.0,530.0,320.0,37.65,2025-11-05 09:00:00,2025-11-05 09:00:00
75,45,14,1,95.0,0.0,0.0,45.0,95.0,45.0,50.0,52.63,2025-11-12 09:00:00,2025-11-12 09:00:00
76,46,16,1,65.0,0.0,0.0,25.0,65.0,25.0,40.0,61.54,2025-11-19 09:00:00,2025-11-19 09:00:00
77,47,17,1,110.0,0.0,0.0,55.0,110.0,55.0,55.0,50.0,2025-11-26 09:00:00,2025-11-26 09:00:00
78,48,18,1,75.0,0.0,0.0,30.0,75.0,30.0,45.0,60.0,2025-12-03 09:00:00,2025-12-03 09:00:00
79,49,21,1,750.0,0.0,0.0,350.0,750.0,350.0,400.0,53.33,2025-12-10 09:00:00,2025-12-10 09:00:00
80,50,4,1,220.0,0.0,0.0,150.0,220.0,150.0,70.0,31.82,2025-12-17 09:00:00,2025-12-17 09:00:00
